Common_name,Scientific_name,Comment,FracOccInDiet_S,FracBioInDiet_S,FracOccInDiet_W,FracBioInDiet_W
Mole,Talpa_europaea,NA,5.0,0.4,3.4,0.9
Common_shrew,Sorex_araneus,NA,0,0,1.9,0.2
Lesser_shrew,Sorex_minutus,NA,0,0,0.4,+
NA,Sorex_sp.,NA,1.6,0.4,0.7,0.4
Water_shrew,Neomys_fodiens,NA,0,0,0.4,+
NA,Soricidae,Undet._shrews,0.8,0.1,4.5,0.8
Brown_hare,Lepus_europaeus,NA,19.8,14.7,14.6,11.8
Red_squirrel,Sciurus_vulgaris,NA,0.8,0.2,0.4,0.3
Muskrat,Ondatra_zibethicus,NA,0,0,0,0
Bank_vole,Clethrionomys_glareolus,NA,17.4,6.7,19.8,8.9
Pine_vole,Pitymys_subterraneus,NA,0.8,0.4,0.4,0.1
Water_vole,Arvicola_terrestris,NA,0.8,0.8,0,0
Root_vole,Microtus_oeconomus,NA,14.1,10.7,21.6,16.2
Short-tailed_vole,Microtus_agrestis,NA,0.8,0.2,1.9,1.3
Common_vole,Microtus_arvalis,NA,8.3,13.2,9.0,8.1
Undet._vole,Microtus_sp.,NA,37.2,15.2,28.4,14.8
Yellow-necked_mouse,Apodemus_flavicollis,NA,4.1,4.3,5.6,3.1
Striped_field_mouse,Apodemus_agrarius,NA,0,0,0.8,0.3
Undet._mouse,Apodemus_sp.,NA,5.8,3.3,5.2,1.4
Birch_mouse,Sicista_betulina,NA,0.8,+,0,0
Harvest_mouse,Micromys_minutus,NA,0.8,+,0.8,0.1
Common_rat,Rattus_norvegicus,NA,0,0,0.8,0.5
Fat_dormouse,Glis_glis,NA,0,0,0.4,+
Undet._rodent,NA,NA,0,0,1.1,+
Weasel,Mustela_nivalis,NA,0,0,0.8,+
Wild_boar_carcass,NA,Carcass,26.5,19.9,23.9,20.5
Undet._Cervidae,NA,NA,18.2,1.5,30.6,5.5
Undet._wild_ungulate_carcass,NA,Carcass,0,0,0,0
Domestic_sheep_carcass,NA,Carcass,1.7,3.2,0.8,2.4
Domestic_cow_carcass,NA,Carcass,0,0,0.4,0.1
Undet._domestic_ungulate_carcass,NA,Carcass,0,0,0,0
Undet._ungulate_carcass,NA,Carcass,0,0,0,0
Capercaillie,Tetrao_urogallus,NA,0,0,0,0
Black_grouse,Lyrurus_tetrix,NA,0,0,0,0
Partridge,Perdix_perdix,NA,0,0,0,0
Hazel_hen,Bonasa_bonasia,NA,0.8,0.1,0.4,+
Undet._tetraonid_bird,NA,Undet._birds,0,0,0,0
Domestic_hen,Gallus_gallus,NA,4.1,1.2,1.9,0.9
Wild_duck,Anas_sp.,NA,0,0,0,0
Undet._wader,NA,Undet._birds,0,0,0,0
Woodpecker,Dendrocopos_sp.,NA,0,0,1.1,0.3
Hawfinch,Coccothraustes_coccothraustes,NA,0.8,0.1,0,0
Tawny_owl,Strix_aluco,NA,1.7,0.2,0,0
Wren,Troglodytes_troglodytes,NA,0,0,0.4,+
Robin,Erithacus_rubecula,NA,0.8,+,0,0
Song_thrush,Turdus_philomelos,NA,1.7,0.1,0,0
Thrush,Turdus_sp.,NA,3.3,0.4,0.4,+
Jay,Garrulus_glandarius,NA,0,0,1.5,0.3
Tit,Parus_sp.,NA,0,0,0.4,+
Chaffinch,Fringilla_coelebs,NA,1.7,0.1,0,0
Bullfinch,Pyrrhula_pyrrhula,NA,0.8,0.1,0,0
Yellowhammer,Emberiza_citrinella,NA,0,0,0.4,0.1
Undet._small_passerine,NA,Undet._birds,13.2,0.4,6.0,0.1
Undet._large_bird,NA,Undet._birds,3.3,0.1,0.4,+
Undet._bird,NA,Undet._birds,0,0,0,0
Bird_egg,NA,Undet._birds,0.8,0.3,0,0
Lizard,Lacerta_sp.,NA,0.8,+,0,0
Undet._reptile,NA,NA,0,0,0,0
Undet._anuran,NA,Undet._amphibians,7.4,0.2,2.6,+
Fish,NA,Undet._fish,0,0,0.4,+
Snail,NA,Gastropoda_sp.,1.7,+,0.4,+
Earthworm,NA,Lumbricidae_sp.,0,0,1.9,+
Beetle,NA,Coleoptera,0,0,0,0
European_mole_cricket,Gryllotalpa_gryllotalpa,NA,0,0,0,0
Undet._insect,NA,Coleoptera,10.7,0.1,2.2,+
Soft_fruit,NA,Fleshy_fruits,0.8,+,0.4,+
Tree_seed,NA,Tree_seeds,5.8,0.1,1.9,+
Green_plant,NA,Grasses,20.7,1.2,11.2,0.3
Other_plant_material,NA,NA,1.7,+,4.5,+
