Common_name,Scientific_name,Comment,FracOccInDiet_S,FracPreyInDiet_S,FracBioInDiet_S
Common_shrew,Sorex_araneus,NA,0.7,0.4,0.2
Lesser_shrew,Sorex_minutus,NA,4.4,2.9,0.5
Bank_vole,Clethrionomys_glareolus,NA,65.7,44.9,42.8
Pine_vole,Pitymys_subterraneus,NA,2.2,1.2,1.3
Short-tailed_vole,Microtus_agrestis,NA,8.0,4.9,6.4
Common_vole,Microtus_arvalis,NA,5.8,3.3,3.5
Undet._vole,Microtus_sp.,NA,8.8,4.9,6.1
Harvest_mouse,Micromys_minutus,NA,0.7,0.4,0.2
Yellow-necked_mouse,Apodemus_flavicollis,NA,5.8,3.3,5.8
Wood_mouse,Apodemus_sylvaticus,NA,3.6,2.5,2.8
Undet._mouse,Apodemus_sp.,NA,10.2,5.8,8.4
Birch_mouse,Sicista_betulina,NA,1.5,0.8,0.4
Middle_spotted_woodpecker,Dendrocopos_medius,NA,0.7,0.4,0.7
Robin,Erithacus_rubecula,NA,2.9,1.6,1.6
Song_thrush,Turdus_philomelos,NA,0.7,0.4,0.7
Undet._thrush,Turdus_sp.,NA,0.7,0.4,0.7
Undet._Warbler,Phylloscopus_sp.,NA,0.7,0.4,0.2
Goldcrest,Regulus_regulus,NA,4.4,2.5,0.7
Blue_tit,Parus_caeruleus,NA,0.7,0.4,0.3
Great_tit,Parus_major,NA,2.9,1.7,1.7
Undet._tit,Parus_sp.,NA,6.6,3.7,3.6
Tree_creeper,Certhia_familiaris,NA,1.5,0.8,0.4
Undet._passerine,NA,Undet._birds,18.2,10.3,11.0
Insects,NA,Coleoptera,3.6,2.1,+
