Common_name,Scientific_name,Comment,FracOccInDiet_S,FracBioInDiet_S,FracOccInDiet_W,FracBioInDiet_W
Mole,Talpa_europaea,NA,3.5,0.2,2.2,0.8
Common_shrew,Sorex_araneus,NA,3.5,0.4,2.2,0.4
Undet._shrew,Sorex_sp.,NA,0,0,5.0,1.6
Water_shrew,Neomys_fodiens,NA,0,0,2.8,0.1
Undet._soricidae,NA,Undet._shrews,20.7,6.2,17.9,1.7
Brown_hare,Lepus_europaeus,NA,0,0,1.1,0.2
Red_squirrel,Sciurus_vulgaris,NA,0,0,0,0
Bank_vole,Clethrionomys_glareolus,NA,13.8,5.8,16.2,2.7
Water_vole,Arvicola_terrestris,NA,6.9,0.6,0,0
Root_vole,Microtus_oeconomus,NA,0,0,3.9,3.1
Undet._Vole,Microtus_sp.,NA,3.5,0.2,17.3,3.6
Undet._microtidae,NA,NA,0,0,0,0
Yellow-necked_mouse,Apodemus_flavicollis,NA,0,0,2.2,0.4
Undet._Mouse,Apodemus_sp.,NA,0,0,5.0,1.0
Undet._rodent,NA,NA,6.9,0.2,3.4,0.2
Badger_cub,Meles_meles,NA,3.5,4.7,0,0
Weasel,Mustela_nivalis,NA,0,0,0.6,0.1
Wild_boar_carcass,NA,Carcass,34.5,25.8,37.4,47.3
Roe_deer_carcass,NA,Carcass,0,0,0,0
Red_deer_carcass,NA,Carcass,0,0,0,0
Undet._cervidae_carcass,NA,Carcass,41.4,2.8,45.3,6.6
Domestic_sheep_carcass,NA,Carcass,0,0,1.1,2.2
Undet._ungulate_carcass,NA,Carcass,0,0,0,0
Swan,Cygnus_sp.,NA,0,0,0.6,0.6
Undet._wild_duck,Anas_sp.,NA,3.5,1.8,0,0
Hazel_hen,Bonasa_bonasia,NA,0,0,0,0
Woodcock,Scolopax_rusticola,NA,0,0,0,0
Thrush,Turdus_sp.,NA,0,0,0.6,+
Jay,Garrulus_glandarius,NA,3.5,8.6,0.6,0.5
Undet._large_bird,NA,Undet._birds,10.3,1.7,0,0
Undet._medium-sized_bird,NA,Undet._birds,0,0,1.1,0.1
Undet._small_passerine,NA,Undet._birds,27.6,0.9,6.7,0.3
Undet._bird,NA,Undet._birds,0,0,0,0
Bird_egg,NA,Undet._birds,0,0,0,0
Lizard,Lacerta_sp.,NA,0,0,1.1,0.4
Undet._reptile,NA,NA,0,0,2.2,0.2
Common_toad,Bufo_bufo,Bufo_sp.,0,0,0.6,0.4
Undet._Toad,Bufo_sp.,NA,3.5,1.3,1.7,1.5
Common_frog,Rana_temporaria,NA,17.2,16.2,8.4,11.2
Undet._frog,Rana_sp.,NA,3.5,0.2,3.9,0.6
Undet._anuran,NA,Undet._amphibians,34.5,4.2,20.1,2.5
Fish,NA,NA,0,0,0,0
Snail,NA,Gastropoda_sp.,27.6,0.6,22.4,0.2
Earthworm,NA,Lumbricidae_sp.,48.3,7.9,39.1,5.1
NA,Carabus_sp.,Coleoptera,10.3,0.4,3.4,0.1
NA,Calosoma_sp.,Coleoptera,3.5,+,0,0
Undet._carabidae_beetles,NA,Coleoptera,17.2,0.6,5.6,0.1
NA,Geotrupes_sp.,Coleoptera,10.3,3.0,0.6,+
Undet._scarabaeidae,NA,Coleoptera,3.5,+,0,0
Sylphidae_beetle,NA,Coleoptera,0,0,0.6,+
Curculionidae_beetle,NA,Coleoptera,0,0,0.6,+
Other_and_undet._coleoptera,NA,Coleoptera,0,0,1.1,+
Coleoptera_larvae,NA,Coleoptera,13.8,0.1,7.8,0.1
Heteroptera,NA,Heteroptera,0,0,1.1,+
Bumblebee_nests,Bombus_sp.,Hymenoptera,3.5,+,0,0
Wasp_nests,Vespidae,Hymenoptera,6.9,0.1,3.9,+
Hymenoptera,NA,Hymenoptera,0,0,0,0
Trichoptera_larvae,NA,Trichoptera,0,0,1.1,+
Other_and_undet._insects,NA,NA,48.3,0.2,23.5,0.1
Blueberry,Vaccinium_myrtillus,Fleshy_fruits,0,0,0,0
Raspberry_fruit,Rubus_sp.,Fleshy_fruits,6.9,0.5,1.7,+
Undet._soft_fruit,NA,Fleshy_fruits,0,0,0.6,+
Oak_seeds,Quercus_robur,Tree_seeds,10.3,0.3,10.6,1.4
Seeds_of_other_trees_and_shrubs,NA,Tree_seeds,10.3,+,7.8,0.2
Bulb_roots_of_plants,NA,Bulbs,3.5,0.6,2.2,0.3
Leaf_buds_of_shrubs_and_trees,NA,Grasses,0,0,6.7,+
Grasses_and_sedges,NA,Grasses,86.2,3.0,39.7,0.6
Vegetal_matter_from_boar_faeces_and_stomachs_of_dead_ungulates,NA,Grasses,17.2,0.7,27.4,1.3
Other_plant_material,NA,Grasses,6.9,0.1,1.1,+
