Common_name,Scientific_name,Comment,FracOccInDiet_S,FracBioInDiet_S,FracOccInDiet_W,FracBioInDiet_W
Eastern_hedgehog,Erinaceus_concolor,NA,0,0,0.3,0.2
Mole,Talpa_europaea,NA,0,0,0,0
Common_shrew,Sorex_araneus,NA,0,0,0.9,+
Undet._Shrew,Soricidae,NA,0,0,0,0
Brown_hare,Lepus_europaeus,NA,3.0,0.9,1.2,0.1
Beaver,Castor_fiber,NA,3.0,2.3,0,0
Red_squirrel,Sciurus_vulgaris,NA,0,0,0.3,+
Bank_vole,Clethrionomys_glareolus,NA,1.5,+,1.5,+
Undet._Vole,Microtus_sp.,NA,0,0,1.7,0.1
Undet._mouse,Apodemus_sp.,NA,1.5,+,0,0
Undet._small_rodent,NA,NA,1.5,+,0.6,+
Lynx,Lynx_lynx,NA,0,0,0,0
Red_fox,Vulpes_vulpes,NA,0,0,0,0
Raccoon_dog,Nyctereutes_procyonoides,NA,0,0,1.2,0.2
Badger,Meles_meles,NA,0,0,0,0
Pine_marten,Martes_martes,NA,0,0,0,0
Wild_boar,Sus_scrofa,NA,43.3,17.4,35.2,12.7
Moose,Alces_alces,NA,0,0,0,0
Red_deer,Cervus_elaphus,NA,20.9,24.5,9.3,10.7
Roe_deer,Capreolus_capreolus,NA,4.5,1.9,3.2,3.9
Undet._deer,Cervidae,Undet._deer,68.7,52.8,80.2,69.0
European_bison,Bison_bonasus,NA,0,0,0.6,1.8
Mouflon,Ovis_ammon,NA,0,0,0,0
Cattle_carcass,NA,Carcass,0,0,0.6,0.7
Domestic_horse_carcass,NA,Carcass,0,0,0.6,0.5
Domestic_swine,NA,NA,0,0,0,0
Domestic_sheep,NA,NA,0,0,0,0
Domestic_goat,NA,NA,0,0,0,0
Domestic_dog,NA,NA,0,0,0,0
Domestic_goose,NA,NA,0,0,0,0
Great_spotted_woodpecker,Dendrocopos_major,NA,0,0,0.3,+
Nuthatch,Sitta_europaea,NA,0,0,0.3,+
Hazel_hen,Bonasa_bonasia,NA,0,0,0,0
Tawny_owl,Strix_aluco,NA,0,0,0.6,+
Undet._large_bird,NA,Undet._birds,1.5,0.1,0,0
Undet._medium-sized_bird,NA,Undet._birds,0,0,0.9,+
Undet._small_bird,NA,Undet._birds,0,0,0,0
Bird_egg,NA,Undet._birds,1.5,+,0,0
Undet._reptile,NA,NA,1.5,+,0.3,+
Undet._anuran,NA,Undet._amphibians,4.5,+,0.3,+
Plant_material,NA,NA,28.4,+,32.6,0.1
