Common_name,Scientific_name,Comment,FracOccInDiet_S,FracPreyInDiet_S,FracBioInDiet_S
Mole,Talpa_europaea,NA,0,0,0
Common_shrew,Sorex_araneus,NA,0,0,0
Lesser_shrew,Sorex_minutus,NA,0,0,0
Undet._bat,NA,Undet._bats,0.4,0.1,+
Bank_vole,Clethrionomys_glareolus,NA,7.8,2.7,1.7
Root_vole,Microtus_oeconomus,NA,0,0,0
Short-tailed_vole,Microtus_agrestis,NA,0,0,0
Common_vole,Microtus_arvalis,NA,0,0,0
Undet._vole,Microtus_sp.,NA,0.8,0.3,0.2
Undet._Microtidae,NA,NA,0.8,0.3,0.2
House_mouse,Mus_musculus,NA,0,0,0
Common_rat,Rattus_norvegicus,NA,0,0,0
Yellow-necked_mouse,Apodemus_flavicollis,NA,0,0,0
Wood_mouse,Apodemus_sylvaticus,NA,0.4,0.1,0.1
Undet._mouse,Apodemus_sp.,NA,0.4,0.2,0.1
Birch_mouse,Sicista_betulina,NA,0.4,0.1,+
Undet._rodent,NA,NA,0,0,0
Ungulate_carcass,NA,Carcass,0,0,0
Common_snipe,Gallinago_gallinago,NA,0,0,0
Woodcock,Scolopax_rusticola,NA,0.4,0.1,0.2
Green_sandpiper,Tringa_ochropus,NA,0.8,0.3,0.5
Rock_dove,Columba_livia,NA,0.4,0.1,0.2
Wood_pigeon,Columba_palumbus,NA,0,0,0
NA,Columba_sp.,NA,0.4,0.2,0.3
Nightjar,Caprimulgus_europaeus,NA,0,0,0
Swift,Apus_apus,NA,0,0,0
Wryneck,Jynx_torquilla,NA,0,0,0
Great_spotted_woodpecker,Dendrocopos_major,NA,1.2,1.1,2.0
Middle_spotted_woodpecker,Dendrocopos_medius,NA,1.2,0.4,0.7
Lesser_spotted_woodpecker,Dendrocopos_minor,NA,0.8,0.3,0.2
Woodpecker,Dendrocopos_sp.,NA,15.2,5.3,8.3
Three-toed_woodpecker,Picoides_tridactylus,NA,1.6,0.6,1.0
Sky_lark,Alauda_arvensis,NA,2.1,0.9,1.2
Sand_martin,Riparia_riparia,NA,0.4,0.1,0.1
Swallow,Hirundo_rustica,NA,0.8,0.3,0.2
Tree_pipit,Anthus_trivialis,NA,0.8,0.3,0.2
Pipit,Anthus_sp.,NA,2.5,0.9,0.6
Alauda_arvensis_or_Anthus_sp.,NA,NA,1.6,0.6,0.6
Yellow_wagtail,Motacilla_flava,NA,0.4,0.1,0.1
White_wagtail,Motacilla_alba,NA,0,0,0
Wagtail,Motacilla_sp.,NA,1.2,0.4,0.3
Wren,Troglodytes_troglodytes,NA,0.8,0.3,0.1
Dunnock,Prunella_modularis,NA,2.1,0.7,0.6
Robin_,Erithacus_rubecula,NA,16.0,6.6,4.1
Thrush_nightingale,Luscinia_luscinia,NA,0,0,0
Blackbird,Turdus_merula,NA,12.3,5.4,9.4
Fieldfare,Turdus_pilaris,NA,0,0,0
Song_thrush,Turdus_philomelos,NA,8.6,4.7,8.1
Undet._thrush,Turdus_sp.,NA,7.0,2.4,4.2
Icterine_warbler,Hippolais_icterina,NA,0.8,0.3,0.1
Whitethroat,Sylvia_communis,NA,0.4,0.1,0.1
Blackcap,Sylvia_atricapilla,NA,0.8,0.3,0.2
Undet._warbler,Sylvia_sp.,NA,2.5,0.9,0.5
Wood_warbler,Phylloscopus_sibilatrix,NA,1.6,0.6,0.2
Chiffchaff,Phylloscopus_collybita,NA,0.4,0.1,+
Greenish_warbler,Phylloscopus_trochilus,NA,0,0,0
Warbler,Phylloscopus_sp.,NA,3.7,1.7,0.6
Goldcrest,Regulus_regulus,NA,0.4,0.1,+
Collared_flycatcher,Ficedula_albicollis,NA,0.8,0.3,0.1
Pied_flycatcher,Ficedula_hypoleuca,NA,2.5,0.9,0.4
Titmouse,Aegithalos_caudatus,NA,0.4,0.2,+
Great_tit,Parus_major,NA,13.6,5.9,3.9
Blue_tit,Parus_caeruleus,NA,7.0,2.7,1.1
Undet._tit,Parus_sp.,NA,24.3,8.5,4.9
Nuthatch,Sitta_europaea,NA,5.3,2.0,1.8
Tree_creeper,Certhia_familiaris,NA,0.4,0.3,0.1
Golden_oriole,Oriolus_oriolus,NA,0.4,0.2,0.3
Red-backed_shrike,Lanius_collurio,NA,2.9,1.2,1.3
Jay,Garrulus_glandarius,NA,4.1,2.3,3.9
Nutcracker,Nucifraga_caryocatactes,NA,1.2,0.4,0.7
Undet._corvid,Corvus_sp.,NA,0,0,0
Starling,Sturnus_vulgaris,NA,0.8,0.3,0.5
Chaffinch,Fringilla_coelebs,NA,15.2,8.0,7.3
Greenfinch,Carduelis_chloris,NA,0.4,0.1,0.2
Goldfinch,Carduelis_carduelis,NA,0,0,0
Finch,Carduelis_sp.,NA,1.6,0.6,0.4
Bullfinch,Pyrrhula_pyrrhula,NA,1.2,0.4,0.4
Hawfinch,Coccothraustes_coccothraustes,NA,4.5,2.0,3.5
Yellowhammer,Emberiza_citrinella,NA,6.2,2.2,2.4
Reed_bunting,Emberiza_schoeniclus,NA,0.4,0.1,0.1
Undet._small_bird,NA,Undet._birds,52.3,18.2,19.3
Undet._frog,Rana_sp.,NA,0,0,0
Carabidae_beetle,NA,Coleoptera,2.1,1.2,+
NA,Geotrupes_sp.,Coleoptera,0.4,0.2,+
Other_Coleoptera_beetles,NA,Coleoptera,2.9,1.4,+
Undet._insects,NA,NA,1.2,0.4,+
