Common_name,Scientific_name,Comment,FracPreyInDiet_S,FracBioInDiet_S
Bank_vole,Clethrionomys_glareolus,NA,38.9,31.0
Undet._vole,Microtus_sp.,Microtus_oeconomus,11.1,12.0
Yellow-necked_mouse,Apodemus_flavicollis,NA,27.8,40.4
NA,NA,Undet._amphibians,NA,16.6
