Common_name,Scientific_name,Comment,FracOccInDiet_S,FracBioInDiet_S,FracOccInDiet_W,FracBioInDiet_W
Mole,Talpa_europaea,NA,0,0,6.3,2.6
Common_shrew,Sorex_araneus,NA,0,0,1.1,0.3
Water_shrew,Neomys_fodiens,NA,0,0,1.1,0.3
Undet._water_shrew,Neomys_sp.,NA,0,0,2.9,0.9
Undet._Soricidae,NA,Undet._shrews,28.0,5.5,4.6,0.6
Bank_vole,Clethrionomys_glareolus,NA,0,0,9.1,4.4
Water_vole,Arvicola_terrestris,NA,4.0,3.5,3.4,4.7
Root_vole,Microtus_oeconomus,NA,0,0,9.1,7.6
Undet._vole,Microtus_sp.,NA,12.0,5.7,27.4,14.3
Pine_vole,Pitymys_subterraneus,NA,0,0,0.6,0.4
Undet._mouse,Apodemus_sp.,NA,0,0,0.6,0.1
Birch_mouse,Sicista_betulina,NA,0,0,0.6,+
American_mink,Mustela_vison,NA,12.0,6.1,0,0
Spotted_crake,Porzana_porzana,NA,0,0,2.3,1.9
Undet._bird,NA,Undet._birds,8.0,0.8,2.3,0.5
Common_frog,Rana_temporaria,NA,12.0,13.3,24.0,28.5
Undet._frog,Rana_sp.,NA,24.0,18.8,21.7,16.7
Undet._anuran,NA,Undet._amphibians,0,0,13.1,5.9
Pike,Esox_lucius,NA,0,0,2.3,1.4
Roach,Rutilus_rutilus,NA,4.0,12.5,1.1,1.8
Burbot,Lota_lota,NA,4.0,2.3,0,0
Stickleback,Gasterosteus_aculeatus,NA,4.0,2.5,4.6,3.1
Ruff,Gymnocephalus_cernuus,NA,4.0,2.3,0,0
Undet._fish,NA,Undet._fish,24.0,20.7,5.7,3.4
Crayfish,Astacus_sp.,NA,0,0,0.6,0.3
Snail,NA,Gastropoda_sp.,4.0,0.2,0,0
NA,Dytiscus_sp.,Coleoptera,24.0,3.8,6.3,0.3
Larvae_of_insects,NA,NA,20.0,1.9,0,0
Plant_material,NA,NA,4.0,0.1,0.6,+
