Common_name,Scientific_name,Comment,FracOccInDiet_S,FracBioInDiet_S,FracOccInDiet_W,FracBioInDiet_W
Undet._shrew,NA,Sorex_araneus,0,0,0.8,+
Brown_hare,Lepus_europaeus,NA,16.7,1.0,11.0,6.0
Red_squirrel,Sciurus_vulgaris,NA,0,0,0.8,+
Bank_vole,Clethrionomys_glareolus,NA,0,0,0.8,+
Pine_vole,Pitymys_subterraneus,NA,0,0,0.8,0.1
Undet._vole,Microtus_sp.,NA,8.3,0.1,0.8,+
Undet._Mouse,Apodemus_sp.,NA,0,0,0,0
Undet._small_rodent,NA,NA,0,0,0,0
Domestic_dog,Canis_familiaris,NA,8.3,3.4,0.8,+
Raccoon_dog,Nyctereutes_procyonoides,NA,0,0,1.6,0.1
Pine_marten,Martes_martes,NA,0,0,0.8,2.3
Wild_boar,Sus_scrofa,NA,0,0,3.9,1.0
Red_deer,Cervus_elaphus,NA,0,0,5.5,10.9
Roe_deer,Capreolus_capreolus,NA,8.3,16.4,8.7,9.6
Undet._deer,Cervidae,Undet._deer,75.0,77.4,74.0,69.4
Hazel_hen,Bonasa_bonasia,NA,0,0,1.6,0.1
Capercaillie,Tetrao_urogallus,NA,0,0,0,0
Domestic_hen,Gallus_gallus,NA,0,0,0.8,0.3
Undet._owl,Strigidae,NA,0,0,0.8,+
Undet._thrush,Turdus_sp.,NA,8.3,1.3,0,0
Jay,Garrulus_glandarius,NA,0,0,0,0
Undet._bird,NA,Undet._birds,0,0,0.8,+
Bird_egg,NA,Undet._birds,0,0,0,0
Amphibian,NA,Undet._amphibians,0,0,0.8,+
Insect,NA,Coleoptera,0,0,0.8,+
Plant_material,NA,NA,16.7,0.4,12.6,0.1
