Common_name,Scientific_name,Comment,FracOccInDiet_S,FracPreyInDiet_S,FracBioInDiet_S
Mole,Talpa_europaea,NA,0.7,0.2,0.4
Parti-coloured_bat,Vespertilio_murinus,NA,0,0,0
Common_noctule,Nyctalus_noctula,NA,0,0,0
Lesser_noctule,Nyctalus_leisleri,NA,0,0,0
Undet._bat,NA,Undet._bats,2.2,0.6,0.3
Red_squirrel,Sciurus_vulgaris,NA,1.4,0.4,0.7
Bank_vole,Clethrionomys_glareolus,NA,1.4,0.4,0.4
Common_vole,Microtus_arvalis,NA,0.7,0.2,0.2
Undet._small_rodent,NA,NA,0,0,0
Ungulate_carcass,NA,Carcass,4.3,1.2,2.1
Pigeon,Columba_sp.,NA,1.4,0.4,0.7
Turtle_dove,Streptopelia_turtur,NA,0,0,0
Great_spotted_woodpecker,Dendrocopos_major,NA,0.7,0.2,0.4
Undet._Woodpecker,Dendrocopos_sp.,NA,0.7,0.2,0.4
Sky_lark,Alauda_arvensis,NA,16.5,9.8,22.7
Sand_martin,Riparia_riparia,NA,0,0,0
Swallow,Hirundo_rustica,NA,59.7,22.8,25.8
Undet._swallows_and_martins,NA,NA,0,0,0
Tree_pipit,Anthus_trivialis,NA,2.9,1.0,1.3
Meadow_pipit,Anthus_pratensis,NA,0,0,0
Pipit,Anthus_sp.,NA,2.2,0.6,0.8
Lark_Alauda_sp._or_pipit_Anthus_sp.,NA,NA,1.4,0.4,0.9
Yellow_wagtail,Motacilla_flava,NA,2.2,0.8,0.9
White_wagtail,Motacilla_alba,NA,3.6,1.2,1.8
Dunnock,Prunella_modularis,NA,0.7,0.2,0.3
Robin,Erithacus_rubecula,NA,0.7,0.2,0.2
Whinchat,Saxicola_rubetra,NA,2.9,0.8,0.9
Blackbird,Turdus_merula,NA,2.9,0.8,1.4
Song_thrush,Turdus_philomelos,NA,2.9,0.8,1.4
Great_reed_warbler,Acrocephalus_arundinaceus,NA,0,0,0
Icterine_warbler,Hippolais_icterina,NA,0.7,0.2,0.2
Lesser_whitethroat,Sylvia_curruca,NA,0.7,0.2,0.1
Whitethroat,Sylvia_communis,NA,1.4,0.4,0.3
Undet._warbler,Sylvia_sp.,NA,0.7,0.2,0.2
Great_tit,Parus_major,NA,1.4,0.4,0.5
Undet._tits,Parus_sp.,NA,2.2,0.6,0.7
Nuthatch,Sitta_europaea,NA,1.4,0.4,0.6
Red-backed_shrike,Lanius_collurio,NA,0,0,0
Jay,Garrulus_glandarius,NA,1.4,0.4,0.7
Chaffinch,Fringilla_coelebs,NA,2.9,0.8,1.3
Greenfinch,Carduelis_chloris,NA,3.6,1.2,2.1
Goldfinch,Carduelis_carduelis,NA,5.0,1.8,1.6
Linnet,Carduelis_cannabina,NA,10.1,4.1,4.6
Undet._finch,Carduelis_sp.,NA,1.4,0.4,0.5
Hawfinch,Coccothraustes_coccothraustes,NA,4.3,1.4,2.5
Yellowhammer,Emberiza_citrinella,NA,8.6,2.8,5.4
Undet._small_passerine,NA,Undet._birds,28.8,8.2,13.3
Fish,NA,NA,0.7,0.2,0.4
Beetle,NA,Coleoptera,41.7,30.8,1.0
Dragonfly,NA,Odonata,1.4,0.4,+
Other_and_Undet._insects,NA,NA,12.9,1.9,+
