Common_name,Scientific_name,Comment,FracOccInDiet_S,FracBioInDiet_S,FracOccInDiet_W,FracBioInDiet_W
Water_shrew,Neomys_sp.,NA,0,0,1.3,0.1
Bank_vole,Clethrionomys_glareolus,NA,0,0,0.3,+
Mouse,Apodemus_sp.,NA,0,0,0.3,0.1
Mallard,Anas_platyrhynchos,NA,1.1,1.7,0.7,0.5
Wild_duck,Anas_sp.,NA,3.3,0.8,0.6,0.4
Undet._bird,NA,Undet._birds,5.6,1.1,0,0
Lizard,Lacerta_sp.,NA,0,0,0.3,+
Common_toad,Bufo_bufo,NA,2.2,3.2,7.2,5.1
Common_frog,Rana_temporaria,NA,3.3,4.2,48.7,37.7
Edible_frog,Rana_esculenta,NA,0,0,1.6,0.6
Undet._frog,Rana_sp.,NA,15.6,20.5,15.7,6.1
Undet._anuran,NA,Undet._amphibians,23.3,6.2,15.7,8.0
Anuran_spawn,NA,Undet._amphibians,0,0,0.3,0.1
Pike,Esox_lucius,NA,8.9,4.3,14.1,5.6
Common_bream,Abramis_brama,NA,0,0,0.7,0.4
Roach,Rutilus_rutilus,NA,8.9,10.1,8.2,5.1
Ide,Leuciscus_idus,NA,0,0,2.3,0.5
Gudgeon,Gobio_gobio,NA,1.1,2.0,0.7,0.1
Ide_or_gudgeon,NA,NA,0,0,2.6,1.4
Red_eye,Scardinius_erythrophthalmus,NA,0,0,0.3,0.1
Tench,Tinca_tinca,NA,0,0,0.3,0.1
White_bream,Blicca_bjoerkna,NA,1.1,0.1,1.0,0.3
Crucian_carp,Carassius_carassius,NA,1.1,4.6,3.6,5.6
Undet._Cyprinidae,NA,NA,7.8,5.0,2.0,1.9
Mud_loach,Misgurnus_fossilis,NA,0,0,1.6,0.8
Undet._Cobitidae,NA,NA,1.1,0.1,0.7,0.3
Burbot,Lota_lota,NA,0,0,1.6,1.4
Stickleback,Gasterosteus_aculeatus,NA,0,0,3.9,2.5
Perch,Perca_fluviatilis,NA,8.9,8.7,17.0,10.5
Ruff,Gymnocephalus_cernuus,NA,0,0,2.3,0.7
Undet._fish,NA,Undet._fish,38.9,15.7,12.4,2.5
Crayfish,Astacus_sp.,NA,1.1,0.1,7.5,0.5
Snail,NA,Gastropoda_sp.,6.7,0.7,0.3,+
NA,Dytiscus_sp.,Coleoptera,66.7,9.6,19.3,0.9
Dragonflies,NA,Odonata,3..3,+,0,0
NA,Silpha_sp.,Coleoptera,0,0,0.3,+
Undet._beetle,NA,Coleoptera,1.1,+,0,0
Larvae_of_insects,NA,NA,24.4,1.2,0,0
Undet._insect,NA,NA,1.1,+,1.0,+
Spiders,NA,Arachnida_sp.,1.1,+,0,0
Plant_material,NA,NA,0,0,0.7,+
