Common_name,Scientific_name,Comment,FracOccInDiet_S,FracPreyInDiet_S,FracBioInDiet_S
Eastern_hedgehog,Erinaceus_concolor,NA,0,0,0
Mole,Talpa_europaea,NA,1.9,0.6,0.6
Brown_hare,Lepus_europaeus,NA,2.3,0.8,1.1
Red_squirrel,Sciurus_vulgaris,NA,23.2,7.9,11.2
Bank_vole,Clethrionomys_glareolus,NA,6.1,2.6,0.6
Water_vole,Arvicola_terrestris,NA,0.4,0.1,0.2
Root_vole,Microtus_oeconomus,NA,0,0,0
Common_vole,Microtus_arvalis,NA,0,0,0
Undet._vole,Microtus_sp.,NA,0.8,0.3,0.1
Harvest_mouse,Micromys_minutus,NA,0.4,0.1,+
Undet._mouse,Apodemus_sp.,NA,1.9,0.6,0.3
Forest_dormouse,Dryomys_nitedula,NA,0.8,0.3,0.1
Undet._small_rodent,NA,NA,0.4,0.1,+
Marten,Martes_sp.,NA,0,0,0
Polecat,Mustela_putorius,NA,0,0,0
Ungulate_carcass,NA,NA,0,0,0
Mallard,Anas_platyrhynchos,NA,0,0,0
Goshawk,Accipiter_gentilis,NA,1.1,0.4,0.6
Sparrowhawk,Accipiter_nisus,NA,4.2,1.4,2.0
Undet._hawk,Accipiter_sp.,NA,1.9,0.6,0.9
Hazel_hen,Bonasa_bonasia,NA,0.8,0.3,0.4
Domestic_hen,Gallus_gallus,NA,0,0,0
Partridge,Perdix_perdix,NA,0,0,0
Lapwing,Vanellus_vanellus,NA,0.4,0.1,0.2
Green_sandpiper,Tringa_ochropus,NA,0,0,0
Black-headed_gull,Larus_ridibundus,NA,0.8,0.3,0.4
Wood_pigeon,Columba_palumbus,NA,1.1,0.4,0.6
Rock_dove,Columba_Iivia,NA,0,0,0
NA,Columba_sp.,NA,6.8,2.3,3.3
Cuckoo,Cuculus_canorus,NA,0.4,0.3,0.4
Tawny_owl,Strix_aluco,NA,1.9,0.6,0.9
Long-eared_owl,Asio_otus,NA,0.4,0.1,0.2
Owl_Strix_or_Asio,NA,NA,0,0,0
Wryneck,Jynx_torquilla,NA,0.8,0.3,0.1
Green_woodpecker,Picus_viridis,NA,0.4,0.1,0.2
Black_woodpecker,Dryocopus_martius,NA,1.5,0.5,0.7
Great_spotted_woodpecker,Dendrocopos_major,NA,2.3,0.8,0.9
Middle_spotted_woodpecker,Dendrocopos_medius,NA,1.5,0.5,0.4
White-backed_woodpecker,Dendrocopos_leucotos,NA,0.4,0.1,0.1
Woodpecker,Dendrocopos_sp.,NA,29.7,10.6,11.4
Sky_lark,Alauda_arvensis,NA,0,0,0
Pipit,Anthus_sp.,NA,0.8,0.3,0.1
Robin,Erithacus_rubecula,NA,0.4,0.1,+
Blackbird,Turdus_merula,NA,16.0,5.7,8.2
Song_thrush,Turdus_philomelos,NA,12.2,4.2,4.2
Redwing,Turdus_iliacus,NA,0.4,0.1,0.1
Fieldfare,Turdus_pilaris,NA,0,0,0
Undet._thrush,Turdus_sp.,NA,12.9,4.4,5.7
Warbler,Phylloscopus_sp.,NA,0.4,0.1,+
Pied_flycatcher,Ficedula_hypoleuca,NA,0.4,0.1,+
Great_tit,Parus_major,NA,0,0,0
Undet._tit,Parus_sp.,NA,1.5,0.5,0.1
Nuthatch,Sitta_europaea,NA,0.4,0.1,+
Golden_oriole,Oriolus_oriolus,NA,3.0,1.0,1.1
Jay,Garrulus_glandarius,NA,48.3,18.7,26.4
Magpie,Pica_pica,NA,0,0,0
Nutcracker,Nucifraga_caryocatactes,NA,1.9,0.6,0.9
Crow,Corvus_corone,NA,0.8,0.3,0.4
Raven,Corvus_corax,NA,0,0,0
Rook,Corvus_frugilegus,NA,0.4,0.1,0.2
Undet._corvid,Corvus_sp.,NA,0.8,0.3,0.4
Starling,Sturnus_vulgaris,NA,0.8,0.3,0.3
Chaffinch,Fringilla_coelebs,NA,3.4,1.2,0.4
Greenfinch,Carduelis_chloris,NA,0.4,0.1,0.1
Hawfinch,Coccothraustes_coccothraustes,NA,3.4,1.2,0.9
Undet._large_bird,NA,Undet._birds,2.3,0.9,1.3
Undet._small_bird,NA,Undet._birds,31.9,10.9,10.9
Grass_snake,Natrix_natrix,NA,0.4,0.1,0.2
Undet._frog,Rana_sp.,NA,1.1,0.4,0.1
Carabidae_beetle,NA,Coleoptera,11.4,4.5,+
NA,Geotrupes_sp.,Coleoptera,1.1,0.4,+
Chrysomelidae_beetle,NA,Coleoptera,1.1,0.6,+
NA,Dytiscus_sp.,Coleoptera,0.8,0.3,+
Other_beetles,NA,Coleoptera,7.2,2.7,+
Hornet,Vespa_crabro,Hymenoptera,0.4,0.1,+
Other_and_undet._insects,NA,NA,10.6,6.1,+
